species,shape_bilateral,shape_spherical,shape_tetra,perine_absent,surf_coliculate/tuberculate,surf_cristate,surf_echinate,surf_folded,surf_foveolate,surf_granulate,surf_hamulate,surf_lophate,surf_lopho-reticulate,surf_microechinate,surf_reticulate,surf_rugulate,surf_scabrate,surf_smooth,surf_verrucate,surf_verrucate/verrucae circular,P_mean,E_mean,exine_mean,perine_max_mean,laesura,image_url
kattekold (Lycopodium annotinum),0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,29.2,35.4,1.6,,16,pildid/kattekold.jpg
karukold (Lycopodium clavatum),0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26.8,34.4,1.7,,15,
harilik sookold (Lycopodiella inundata),0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20.8,43.8,3.9,,17,
mets-vareskold (Diphasiastrum complanatum),0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.1,34.1,3,,15,
nõmm-vareskold (Diphasiastrum tristachyum),0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.3,32.6,2,,15,
harilik ungrukold (Huperzia selago),0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23.6,36,3.1,,19,
pruun raunjalg (Asplenium trichomanes),1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,32.5,1.7,2.2,,
rohe-raunjalg (Asplenium viride),1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23.4,34.1,2.1,5.1,,
müür-raunjalg (Asplenium ruta-muraria),1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29.4,47.1,3,5.4,,
põhja-raunjalg (Asplenium septentrionale),1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,29,45,2,7.5,,
harilik naistesõnajalg (Athyrium filix-femina),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22.7,39.1,2,,22,
tähk-sulgjalg (Struthiopteris spicant),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26.8,43.9,2,3.4,30,
sudeedi põisjalg (Cystopteris sudetica),1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,37.9,1.5,,,
habras põisjalg (Cystopteris fragilis),1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31.6,48.8,1.5,,26,
paas-kolmissõnajalg (Gymnocarpium robertianum),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.4,40.9,2,6.1,,
harilik kolmissõnajalg (Gymnocarpium dryopteris),1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,21.7,36.3,2,2.7,,
maarja-sõnajalg (Dryopteris filix-mas),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26.1,44.5,2.2,4.9,,
suga-sõnajalg (Dryopteris cristata),1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,38.1,56.1,2.5,7.8,30,
laiuv sõnajalg (Dryopteris expansa),1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,26.1,42.5,2.5,8.8,22,
ohtene sõnajalg (Dryopteris carthusiana),1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,28,46.1,2,6.9,25,
austria sõnajalg (Dryopteris dilatata),1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,28.8,49.3,2,7.5,,
brauni astelsõnajalg (Polystichum braunii),1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29.7,46.8,2,6.3,,
odajas astelsõnajalg (Polystichum lonchitis),1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27.2,41,2,6.4,18,
ogane astelsõnajalg (Polystichum aculeatum),1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,40.3,2,5.4,20,
harilik laanesõnajalg (Matteuccia struthiopteris),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,28.6,44.6,2,8.8,28,
kivi-imar (Polypodium vulgare),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,39,73.8,3.2,2.8,50,
harilik soosõnajalg (Thelypteris palustris),1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30.9,50.5,2,,29,
harilik metssõnajalg (Phegopteris connectilis),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,32,61.8,2,9.5,36,
konnaosi (Equisetum fluviatile),0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,46,46,,,,
harilik maokeel (Ophioglossum vulgatum),0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,27.2,3.3,,,
virgiinia võtmehein (Botrychium virginianum),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,27.2,,,,
haruline võtmehein (Botrychium matricariifolium),0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,39.2,1.9,,,
kuu-võtmehein (Botrychium lunaria),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,38,4,,,
kummeli-võtmehein (Botrychium multifidum),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,28.2,2.7,,,
